Field name,Data Type,Description,Sample
src_stm_id,String,The Module of source system where the arrangement come from: T24_AZ/T24_AC/T24_LD/T24_PD/T24_LC/T24_LM/T24_LD…,T24_AC
ccy_code,String,"The type of currency of the arrangement. It may be VietNam Dong, Dollar, Euro.. It contains alphabet: VND/USD/EUR…",VND
legacy_ref,String,The legacy reference of arrangement. It may the the contract no on hard-version.,TA04634284
interest_rate,String,The interest percent that Techcombank pays for customers when customers deposit money,2.9
int_rate_type,String,"Type of interest rate (if any). There are different types of interest rates that can be applied to loans or investments. Some of these include: 
Fixed Interest Rate
Variable Interest Rate
Annual Percentage Rate
Prime Interest Rate
Discounted Interest Rate
Simple Interest Rate
Compound Interest Rate",1
interest_spread,String,"The interest rate charged by Techcombank on loans to private sector customers minus the interest rate paid by commercial or similar banks for demand, time, or savings deposits.",0
joint_hldr,String,joint holder who is the co-owner of the arrangement,20437143
auto_rollover,String,"Indetify where customers let the arrangement auto rollover:
Y: Yes
N: No",Yes
pps_code,String,The unique code of TCB purpose code which generated on T24 system and define which purpose related to the arrangment. It contains numbers.,4020
direct_sale_id,String,The customer code generated in T24 system of saler who support directly customer to deposit money into Techcombank,
direct_sale_ac,String,The customer account generated in T24 system of saler who support directly customer to deposit money into Techcombank,1.90E+13
referral_sale_id,String,The customer code generated in T24 system of saler who referred to support customer to deposit money into Techcombank,33000000
referral_sale_ac,String,The customer account generated in T24 system of saler who referred to support customer to deposit money into Techcombank,1.90E+13
account_officer,String,The account_officer code of inputter in T24 system,1
dept_code,String,The department code of Techcombank department in T24 system,302
mnemonic,String,3-digit branch code of T24,123
Sub_product,String,"CD Max, CD Self Trade distinction field (change naming Channel - used to define Online or Counter)",
customer_coupon,"decimal(36,8)",Coupon due rate of customer,302
current_tenor,int,Contract term (36M/48M),
current_tenor_unit,String,Tenor unit (M),
payment_frequency,String,Contract interest payment term (1M/3M/6M),
payment_frequency_unit,string,Contract interest payment unit (M),
repricing_frequency,String,Frequency of interest rate change: fixed or float,
repricing_frequency_unit,string,Unit of interest rate change period: D/M,
start_interest_period,date,Interest payment start date,
ds_cl_id,string,Automatically generate from MR Engine to identify the product on the product tree,10201010100
ds_cl_code,string,Automatically generate from MR Engine to identify the product on the product tree,-1
ds_sro_id,int,Automatically generate from MR Engine to identify the product on the product tree,1003
ds_sro_cd,string,Default value = 'crm_pd_t24',crm_pd_t24
ds_rule_id,string,Automatically generate from MR Engine to identify the rule to map product on the product tree,110100411
ds_rule_clause,string,Automatically generate from MR Engine and it is the array value and combine all the information of product rule,SELECT PD_T24.ARR_ID…
ds_rule_detail,string,Automatically generate from MR Engine and it is the array value and combine the ranking of the rule,[{'RANKING': 112}]
eff_dt ,String,Effective date of record,27/06/2024
end_dt ,String,End date of record,27/06/2024
rec_st ,String,Record status,1
ppn_dt,String,,26/01/2024
interest_start_date,date,the date that the current interest rate is applied ,26/01/2024
interest_end_date,date,the date that the current interest rate expires ,26/01/2024
agreement_date,date,"Date that the deposit is approved, maybe equal or less than the effective date ",14/12/2023
original_principal,"decimal(38, 6)",The original principal of the deposit with no interest ,200000000
Interest_frequency,String,"Interest payment frequency, defined in the schedule of the contract ",7M
source_account,String,"Due principal payment account, the account that receive the due principal from the bank",366336
principal_receive_account,String,"Principal payment account, the account that receive the principal from the bank",366336
interest_receive_account,String,"Interest payment account, the account that receive the due interest from the bank",VND1000100010342
bizline_contract,String,,RETAIL
pd_lvl_1_id,String,ID of the first level on CF's product tree (Note: In review),
pd_lvl_2_id,String,ID of the second level on CF's product tree (Note: In review),
pd_lvl_3_id,String,ID of the third level on CF's product tree (Note: In review),
pd_lvl_4_id,String,ID of the forth level on CF's product tree (Note: In review),
pd_lvl_5_id,String,ID of the fifth level on CF's product tree (Note: In review),
pd_lvl_6_id,String,ID of the sixth level on CF's product tree (Note: In review),
